LAT,LONG,Depth,Year
29.25608333,-92.637,17.9,2010
28.9445,-93.78583333,22.5,2010
29.19575,-92.72758333,19.6,2010
28.42608333,-91.2305,47,2010
29.57841667,-92.93816667,11.5,2010
29.5465,-92.94833333,12.8,2010
29.6025,-93.23058333,10.6,2010
29.60041667,-93.59083333,11,2010
29.19925,-93.37583333,17.7,2010
29.15408333,-93.36608333,18.7,2010
29.17783333,-93.50858333,18.3,2010
29.106,-93.53441667,20.3,2010
29.08208333,-93.3975,21.2,2010
29.02525,-93.33483333,24.3,2010
28.76533333,-93.68375,21.4,2010
28.744,-93.65225,21.6,2010
28.59233333,-93.59258333,36.2,2010
28.40316667,-93.68133333,49.7,2010
28.36258333,-93.62625,52.9,2010
28.37558333,-93.63391667,53.9,2010
28.36283333,-93.43825,53.8,2010
28.27858333,-93.55791667,59.6,2010
28.16116667,-93.60391667,62.7,2010
28.12408333,-93.60491667,66.6,2010
28.01941667,-93.77958333,82.7,2010
27.99658333,-93.84558333,83.8,2010
27.98883333,-93.91108333,75.9,2010
29.06283333,-92.42233333,22.3,2010
28.14366667,-93.38016667,72.8,2010
28.47333333,-93.21575,42.2,2010
28.99366667,-92.25925,23.4,2010
28.47125,-93.02875,46.8,2010
28.94308333,-92.46866667,27.4,2010
28.535,-93.23675,39.7,2010
28.78316667,-92.41216667,34.2,2010
28.67966667,-93.40908333,30.9,2010
28.90491667,-93.26366667,25.4,2010
28.43133333,-92.2825,55.4,2010
29.014,-92.96025,24.5,2010
28.50058333,-92.51108333,49.2,2010
29.08041667,-92.68158333,23.8,2010
28.41858333,-92.70941667,53.8,2010
28.39491667,-92.55141667,56.7,2010
30.15008,-88.63233,13.9,2010
30.14517,-88.3805,16.1,2010
29.94908,-88.49942,27.4,2010
29.89775,-88.544,25.6,2010
29.84008,-88.52567,27.4,2010
29.81642,-88.40267,32.9,2010
30.22392,-87.70842,12.1,2010
30.19442,-87.41075,15.9,2010
29.8535,-87.49183,31.1,2010
30.01142,-87.27367,29.3,2010
29.99,-87.27425,27.4,2010
30.12008,-87.21292,27.4,2010
30.23692,-86.96167,27.4,2010
30.28167,-86.95042,27.4,2010
30.31675,-86.80367,19.9,2010
30.21992,-86.78783,29.3,2010
30.28608,-86.2865,23.8,2010
29.22633,-89.55483,4.2,2010
28.82408,-91.03575,9.3,2010
29.05483,-91.48275,7.9,2010
29.11142,-91.53042,7.5,2010
30.1405,-88.61567,13.4,2010
29.19075,-88.92525,31.1,2010
29.00992,-88.95667,89.6,2010
28.92725,-89.08133,73.2,2010
29.336,-88.72258,54.9,2010
29.46442,-88.54342,53,2010
29.57808,-88.56858,31.1,2010
29.55692,-88.48033,45.7,2010
29.5355,-87.88808,21.9,2010
29.34358,-87.81992,93.3,2010
30.22042,-87.69717,7.9,2010
30.20208,-87.39908,16.3,2010
29.73642,-86.30817,87.8,2010
30.015,-87.29083,25.6,2010
30.0295,-86.1795,36.6,2010
30.12417,-87.21458,32.9,2010
30.043,-86.10508,29.3,2010
30.10167,-86.86775,91.4,2010
30.03925,-86.08717,27.4,2010
30.0985,-86.54758,42.1,2010
30.13208,-85.88292,23.8,2010
30.03633,-86.551,47.5,2010
29.72342,-85.85475,38.4,2010
30.0265,-86.49158,45.7,2010
29.7085,-85.82383,34.7,2010
29.8655,-86.46583,73.2,2010
29.653,-85.72533,25.6,2010
29.59942,-85.88392,38.4,2010
29.382,-85.14242,21.9,2010
29.36833,-85.151,23.8,2010
29.31892,-85.17317,27.4,2010
29.11617,-85.50975,47.5,2010
28.986,-85.39433,78.6,2010
28.60158,-84.98717,75,2010
28.46967,-84.74858,62.2,2010
28.37758,-84.59175,62.2,2010
28.31458,-84.44475,56.7,2010
28.22183,-84.24933,45.7,2010
27.924,-84.48175,84.1,2010
27.71508,-84.41983,95.1,2010
27.69908,-84.26042,67.7,2010
27.78117,-84.16492,51.2,2010
27.71483,-84.0455,58.5,2010
27.66175,-84.06192,58.5,2010
27.82008,-83.74083,42.1,2010
27.918,-83.76383,40.2,2010
26.0645,-82.64167,29.3,2010
27.85,-83.57317,34.7,2010
26.32558,-82.97583,38.4,2010
27.7845,-83.5165,32.9,2010
26.3355,-83.07708,40.2,2010
27.81425,-83.31025,25.6,2010
26.39983,-83.11583,42.1,2010
27.54608,-83.05642,18.8,2010
26.52242,-83.15717,45.7,2010
27.43317,-82.91333,15.5,2010
26.54325,-83.00508,38.4,2010
27.07908,-82.86675,23.8,2010
26.5615,-83.57533,58.5,2010
27.11325,-82.883,23.8,2010
26.6475,-83.64317,64,2010
27.13575,-82.91583,25.6,2010
26.762,-83.57642,58.5,2010
26.86183,-82.461,12.4,2010
26.82425,-84.01033,82.3,2010
26.78567,-82.39508,12.1,2010
26.87083,-84.02033,86,2010
26.73375,-82.72175,17.7,2010
26.91708,-84.04542,87.8,2010
27.088,-83.84883,65.8,2010
26.71842,-82.67433,21.9,2010
27.13867,-83.72442,54.9,2010
26.697,-82.86792,29.3,2010
27.41067,-83.73367,49.4,2010
26.55417,-82.80558,27.4,2010
26.76917,-83.19883,42.1,2010
26.57783,-82.53658,19.6,2010
26.31358,-83.39333,56.7,2010
26.50183,-82.46917,18.1,2010
26.24617,-83.35567,54.9,2010
26.23608,-82.52092,21.9,2010
26.18642,-83.44783,58.5,2010
26.48283,-83.65975,65.8,2010
28.08975,-83.99858,42.1,2010
28.15775,-83.81725,36.6,2010
28.17258,-83.77683,36.6,2010
28.19908,-83.67942,32.9,2010
28.13917,-83.474,27.4,2010
28.21717,-83.38825,23.8,2010
28.201,-83.33108,21.9,2010
28.02783,-83.12017,17.2,2010
29.54658,-84.48692,20.1,2010
28.08383,-82.99625,10.2,2010
29.42092,-84.59308,25.6,2010
28.16883,-83.08383,15,2010
29.33308,-84.50625,29.3,2010
28.43467,-83.07975,12.8,2010
29.339,-84.28683,25.6,2010
28.50758,-83.01042,10.2,2010
29.15775,-84.20117,25.6,2010
28.53525,-83.01417,9.9,2010
29.09033,-84.42542,27.4,2010
29.05167,-85.10125,34.7,2010
28.74225,-83.19267,13,2010
29.11683,-85.134,36.6,2010
28.76492,-83.46433,19.4,2010
28.46442,-83.73492,29.3,2010
28.4435,-83.99758,32.9,2010
28.64983,-84.00792,31.1,2010
28.74917,-83.84975,27.4,2010
28.843,-83.93033,29.3,2010
28.8695,-83.84233,25.6,2010
29.24033,-83.81575,20.1,2010
29.52933,-83.71892,11.9,2010
29.65242,-84.4685,14.1,2010
29.607,-84.74533,12.3,2010
28.8885,-90.16317,25.2,2010
28.895,-90.08067,30.9,2010
29.02333,-89.80192,36.6,2010
29.14417,-89.63142,14.1,2010
28.98067,-89.47642,16.8,2010
28.89475,-89.47508,11.9,2010
29.01233,-90.3015,13.4,2010
29.00125,-90.45192,11,2010
28.67783,-90.97942,15.5,2010
28.55583,-91.21858,34.6,2010
28.67542,-91.14325,18.3,2010
28.84358,-91.36817,15.9,2010
28.92642,-91.35275,11.2,2010
28.95775,-91.538,14.6,2010
29.03842,-91.879,16.1,2010
29.11867,-92.02317,12.3,2010
29.00317,-92.26267,23,2010
29.07575,-92.43175,22.1,2010
28.7045,-90.25683,29.8,2010
29.1065,-92.21742,17,2010
28.72992,-90.20008,35.3,2010
29.073,-92.06217,17.2,2010
29.11117,-91.84975,11.2,2010
26.8105,-83.29917,45.7,2010
27.042,-82.85983,23.8,2010
27.00867,-82.85617,23.8,2010
26.97242,-82.85192,25.6,2010
27.73608,-82.99317,9.1,2010
27.63808,-83.61608,40.2,2010
27.43792,-84.30792,89.6,2010
26.81025,-84.01433,84.1,2010
26.85258,-84.04042,84.1,2010
26.88908,-84.06142,87.8,2010
26.7955,-83.22042,42.1,2010
26.80367,-83.25783,42.1,2010
30.12158,-88.26683,10.7,2010
29.98058,-88.37933,15.4,2010
29.9265,-88.32392,17.4,2010
29.71567,-88.34708,20.4,2010
30.15275,-88.13408,7,2010
30.05983,-88.05,12.1,2010
29.85283,-88.06367,17.6,2010
29.68467,-88.01892,22,2010
29.68417,-88.0955,20.4,2010
26.21541667,-96.57275,52.7,2011
26.12783333,-97.08491667,18.8,2011
26.43,-97.11966667,19.6,2011
26.46966667,-96.485,77.9,2011
26.69833333,-96.59341667,92.7,2011
26.6675,-96.55891667,94.9,2011
26.7015,-96.72658333,65.1,2011
26.64825,-96.783,55.6,2011
26.6035,-97.23083333,15.7,2011
26.75116667,-97.149,28.5,2011
26.80483333,-97.06241667,35.3,2011
26.93508333,-96.81566667,62.9,2011
26.97983333,-96.61275,97.7,2011
27.1015,-96.66341667,81.2,2011
27.1825,-96.89416667,47.2,2011
27.27116667,-96.68025,68.9,2011
27.99025,-94.97991667,81,2011
28.26516667,-95.01533333,45.4,2011
27.31291667,-96.89858333,41.9,2011
28.31658333,-95.11091667,39.5,2011
27.37458333,-96.8885,39.9,2011
27.40416667,-97.19133333,19.2,2011
28.31658333,-95.24033333,36.2,2011
27.8625,-96.93891667,14.6,2011
28.31808333,-95.35216667,35.5,2011
27.85758333,-96.91383333,16.3,2011
28.33191667,-95.441,32.6,2011
27.88266667,-96.71925,23.6,2011
27.82816667,-96.569,34.7,2011
28.22191667,-95.3925,39.5,2011
27.68566667,-96.6385,40.8,2011
28.22233333,-95.45358333,37.9,2011
27.6175,-96.46941667,61.8,2011
27.6415,-96.35041667,71.9,2011
28.23866667,-95.69708333,31.6,2011
27.74741667,-96.19033333,71.1,2011
28.29666667,-95.80433333,25.2,2011
27.78991667,-95.95008333,62.9,2011
28.44,-96.09516667,15.5,2011
27.81258333,-96.04391667,66.2,2011
28.484,-96.03116667,14.4,2011
27.91133333,-96.165,50.3,2011
28.481,-95.45983333,26.7,2011
28.54866667,-95.35558333,26.7,2011
27.95008333,-96.39983333,33.8,2011
28.46891667,-95.36566667,29.4,2011
27.9675,-96.37733333,33.6,2011
28.55275,-95.22516667,28.9,2011
28.02808333,-96.53341667,24,2011
28.27133333,-94.76975,45.7,2011
28.09416667,-96.32808333,26.3,2011
28.24508333,-94.74216667,47.2,2011
28.08358333,-96.10391667,33.6,2011
28.15175,-94.54983333,54.9,2011
28.29358333,-94.45391667,47.4,2011
27.9715,-95.673,50.8,2011
28.448,-94.33866667,39.3,2011
27.94058333,-95.12583333,86,2011
28.46825,-94.48325,38,2011
28.32183333,-94.5675,43.2,2011
28.45983333,-94.649,37.3,2011
28.64966667,-94.59458333,29.4,2011
28.6555,-94.80341667,28.5,2011
28.6895,-94.81425,26.9,2011
28.88833333,-94.92458333,18.1,2011
28.99183333,-94.97141667,17.6,2011
27.9635,-94.1,81.6,2011
29.06741667,-94.82475,17.6,2011
