objectid_1,objectid,acres,month_map,area_,perimeter,date_map,strata,fiscaly,strata_d,areaid,shape_leng,i1_i2,st_areashape,st_perimetershape
22949,22949,0.26099527,APRIL,1056.20876,333.0802381,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,333.0804607,I1,1056.214634,333.0804607
22950,22950,0.13241376,APRIL,535.8623079,104.6531318,2011,K,2011,Subtidal Hard Non-vegetated Shell,P010,104.6530742,I1,535.8616525,104.6530742
22951,22951,0.43498342,APRIL,1760.319616,216.064124,2011,C,2011,Subtidal Soft Non-vegetated Shell,P010,216.0640883,I1,1760.322509,216.0640883
22952,22952,0.93545811,APRIL,3785.682457,310.7152749,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,310.7152897,I1,3785.679814,310.7152897
22953,22953,101.3584592,APRIL,410184.8016,4212.786063,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P009,4212.786079,I1,410184.7723,4212.786079
22954,22954,0.30955319,APRIL,1252.723709,230.2161157,2011,C,2011,Subtidal Soft Non-vegetated Shell,P010,230.2159501,I1,1252.722334,230.2159501
22955,22955,121.9887092,APRIL,493672.7567,4953.42013,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P009,4953.420243,I1,493672.7661,4953.420243
22956,22956,2.1072197,APRIL,8527.645689,721.6925572,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P010,721.6926244,I1,8527.649691,721.6926244
22957,22957,5.48094244,APRIL,22180.67002,1222.774952,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P009,1222.775041,I1,22180.67586,1222.775041
22958,22958,0.13627035,APRIL,551.4679693,106.4305648,2011,C,2011,Subtidal Soft Non-vegetated Shell,P010,106.4306771,I1,551.4687645,106.4306771
22959,22959,0.46448855,APRIL,1879.72639,159.6788539,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,159.6788664,I1,1879.726002,159.6788664
22960,22960,16.85507643,APRIL,68210.34364,1981.510697,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,1981.51065,I1,68210.34716,1981.51065
22961,22961,162.7199922,APRIL,658507.0784,6786.535011,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P010,6786.535042,I1,658507.0796,6786.535042
22962,22962,0.74684975,APRIL,3022.407619,445.0029177,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,445.0029004,I1,3022.405814,445.0029004
22963,22963,6.65844211,APRIL,26945.86786,1011.695553,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,1011.695469,I1,26945.86702,1011.695469
22964,22964,0.41277431,APRIL,1670.445664,150.9177524,2011,C,2011,Subtidal Soft Non-vegetated Shell,P010,150.9176922,I1,1670.445049,150.9176922
22965,22965,134.1486576,APRIL,542882.5313,10578.05075,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,10578.05062,I1,542882.5281,10578.05062
22966,22966,1.61192112,APRIL,6523.240233,464.2522701,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,464.2523337,I1,6523.239453,464.2523337
22967,22967,2.30128224,APRIL,9312.996408,367.06965,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,367.069595,I1,9312.99608,367.069595
22968,22968,0.40559225,APRIL,1641.380065,154.8769772,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,154.8768819,I1,1641.380197,154.8768819
